실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,1,11.570,-1.2881027460098267,1.4927220344543457,0.5391665101051331,-1.1816383249652063e-07,1.40758757538606e-07,0.17065702378749847,0.29071518778800964
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,2,12.393,-1.3385975360870361,1.4675307273864746,0.6405021548271179,-1.1563007973336425e-07,1.3774051410564425e-07,0.16699768602848053,0.2773912847042084
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,3,13.213,-1.2446268796920776,1.4684474468231201,0.5600273013114929,-1.1838397995234118e-07,1.4102100465152034e-07,0.1709749698638916,0.2757151424884796
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,4,14.031,-1.2087962627410889,1.4245082139968872,0.5490140914916992,-1.1912173647488089e-07,1.4189983232881787e-07,0.17204047739505768,0.2751574218273163
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,5,14.850,-1.1342602968215942,1.3753057718276978,0.626449465751648,-1.15938611600086e-07,1.381080352302888e-07,0.16744327545166016,0.29900550842285156
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,6,15.670,-1.162283182144165,1.4028730392456055,0.6946091651916504,-1.1671887989450624e-07,1.390375103937913e-07,0.16857017576694489,0.29281166195869446
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,7,16.490,-1.1011170148849487,1.357348084449768,0.680755078792572,-1.1785286346821522e-07,1.4038832318874483e-07,0.1702079176902771,0.2896176874637604
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,8,17.313,-1.0420962572097778,1.3117504119873047,0.6176351308822632,-1.155147231202136e-07,1.3760309514054825e-07,0.16683107614517212,0.2846251130104065
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,9,18.130,-1.0074565410614014,1.3052314519882202,0.6575148701667786,-1.1440937441875576e-07,1.362863883969112e-07,0.16523468494415283,0.2961339056491852
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,1,10,18.950,-1.036420226097107,1.3315460681915283,0.6948021054267883,-1.1863838267345272e-07,1.4132405112832203e-07,0.1713424026966095,0.29574358463287354
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,1,20.772,-1.034784197807312,1.3031104803085327,0.6082274317741394,-1.1825066081883051e-07,1.4086218413922325e-07,0.1707824319601059,0.28663626313209534
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,2,21.589,-1.035799264907837,1.321603536605835,0.6234101057052612,-1.175953059373569e-07,1.4008152504629834e-07,0.16983594000339508,0.29888004064559937
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,3,22.412,-1.1264665126800537,1.3635742664337158,0.6908456683158875,-1.1659118115403544e-07,1.3888538319406507e-07,0.16838574409484863,0.2905186712741852
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,4,23.229,-1.1135221719741821,1.3699641227722168,0.5769472122192383,-1.167266461266081e-07,1.390467474493562e-07,0.16858138144016266,0.2787204086780548
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,5,24.049,-1.1445136070251465,1.375715732574463,0.5486513376235962,-1.1622634588093206e-07,1.3845078683516476e-07,0.16785883903503418,0.27621138095855713
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,6,24.872,-1.182212233543396,1.4235680103302002,0.5487720966339111,-1.1724091564246919e-07,1.3965936318527383e-07,0.1693241149187088,0.2966768443584442
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,7,25.689,-1.2798590660095215,1.4554646015167236,0.6581512689590454,-1.175329131797298e-07,1.4000718806528312e-07,0.16974583268165588,0.2848588824272156
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,8,26.509,-1.29091215133667,1.4633816480636597,0.571026623249054,-1.1716374359593829e-07,1.395674331661212e-07,0.16921265423297882,0.2824655771255493
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,9,27.329,-1.2342716455459595,1.4649152755737305,0.4800071716308594,-1.2065150656326296e-07,1.4372211865065765e-07,0.17424984276294708,0.282139390707016
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,2,10,28.152,-1.2776349782943726,1.4533860683441162,0.5855254530906677,-1.1572731040132567e-07,1.3785633257157315e-07,0.16713811457157135,0.28322672843933105
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,1,29.969,-1.2635118961334229,1.4693331718444824,0.561444878578186,-1.1983755143774033e-07,1.4275252624429413e-07,0.17307429015636444,0.2789730727672577
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,2,30.789,-1.2492504119873047,1.4508635997772217,0.5210486054420471,-1.1800237587067386e-07,1.4056642783089046e-07,0.17042383551597595,0.297357439994812
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,3,31.613,-1.2471164464950562,1.4577192068099976,0.6163457036018372,-1.1983324554876162e-07,1.4274738191488723e-07,0.1730680614709854,0.2989790439605713
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,4,32.430,-1.2136865854263306,1.4345060586929321,0.6511309742927551,-1.203869146593206e-07,1.4340693610392918e-07,0.17386768758296967,0.27747949957847595
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,5,33.252,-1.1247074604034424,1.3675642013549805,0.5809275507926941,-1.1587272297219897e-07,1.3802954867969675e-07,0.16734811663627625,0.2771618962287903
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,6,34.070,-1.0858118534088135,1.3336066007614136,0.6493669748306274,-1.1832432988967412e-07,1.4094995037794433e-07,0.17088882625102997,0.2911815941333771
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,7,34.889,-1.0611997842788696,1.3462905883789062,0.6514782309532166,-1.1941075683807867e-07,1.4224410449514835e-07,0.17245787382125854,0.2941134572029114
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,8,35.709,-1.020106554031372,1.315617322921753,0.6724539399147034,-1.1541072808540775e-07,1.3747921911999583e-07,0.16668088734149933,0.3072395622730255
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,9,36.530,-1.0416252613067627,1.3280400037765503,0.7037643194198608,-1.2143495098371204e-07,1.446553739015144e-07,0.17538131773471832,0.29332664608955383
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,3,10,37.350,-1.0416709184646606,1.3227918148040771,0.704969584941864,-1.202785711029719e-07,1.4327787312140572e-07,0.17371122539043427,0.29206597805023193
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,1,39.170,-1.0999888181686401,1.3547595739364624,0.7044277191162109,-1.1709850866736815e-07,1.3948972821253847e-07,0.16911844909191132,0.2905905246734619
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,2,39.989,-1.0678988695144653,1.3181942701339722,0.6382802128791809,-1.1830792345790542e-07,1.4093039624185622e-07,0.17086513340473175,0.28658783435821533
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,3,40.809,-1.1060116291046143,1.3469325304031372,0.6304044723510742,-1.1744678829472832e-07,1.3990459990509407e-07,0.16962143778800964,0.28788793087005615
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,4,41.630,-1.0858803987503052,1.3295156955718994,0.526779055595398,-1.182915525532735e-07,1.4091089894918696e-07,0.17084148526191711,0.28975871205329895
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,5,42.450,-1.1851009130477905,1.3886858224868774,0.606974720954895,-1.2076682764927682e-07,1.438594949831895e-07,0.17441639304161072,0.27946147322654724
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,6,43.273,-1.223101258277893,1.4191172122955322,0.5459179282188416,-1.1748291228741436e-07,1.399476303731717e-07,0.1696736216545105,0.2733330726623535
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,7,44.090,-1.2678834199905396,1.4338812828063965,0.47944486141204834,-1.200791643896082e-07,1.430403244739864e-07,0.17342321574687958,0.28345543146133423
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,8,44.909,-1.312319278717041,1.5177780389785767,0.5913510918617249,-1.2044218067330803e-07,1.4347276078297e-07,0.1739474982023239,0.28678372502326965
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,9,45.730,-1.2809579372406006,1.467230200767517,0.5994710922241211,-1.2072878519120422e-07,1.43814162356648e-07,0.1743614375591278,0.28056374192237854
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,4,10,46.550,-1.2577518224716187,1.4663455486297607,0.5125874280929565,-1.2068272781107225e-07,1.4375930845744733e-07,0.17429493367671967,0.2826579511165619
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,5,1,48.373,-1.2873388528823853,1.4726396799087524,0.6392689347267151,-1.1741162353473555e-07,1.3986270630539366e-07,0.169570654630661,0.2853245735168457
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,5,2,49.190,-1.2453070878982544,1.4388996362686157,0.5983569622039795,-1.1951597400639002e-07,1.4236944423373643e-07,0.1726098507642746,0.28563520312309265
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,5,3,50.010,-1.1670502424240112,1.414811134338379,0.5421866774559021,-1.1746389816380542e-07,1.3992497827075567e-07,0.16964615881443024,0.28957122564315796
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,5,4,50.831,-1.170080304145813,1.3904664516448975,0.6018702387809753,-1.199729666723215e-07,1.429138336561664e-07,0.1732698678970337,0.294534832239151
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,5,5,51.650,-1.132834553718567,1.3742257356643677,0.6866520047187805,-1.1902113072892462e-07,1.4177997798014985e-07,0.17189517617225647,0.2933347523212433
scoop_total133g_09211821_set1,scoop,scoop_total_133g,133,5,6,52.469,-1.0622334480285645,1.346086025238037,0.6821633577346802,1.3887996885841858e-07,-4.7366892630407165e-09,0.17266656458377838,0.2884466052055359
