실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,1,-0.723292768,1.991553187,1.220642686,2.902348995,-3.537184477,0.1502139419
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,2,-0.7015009522,2.00945735,1.247377992,2.902352095,-3.537186146,0.1523520797
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,3,-0.7015009522,2.00945735,1.247377992,2.902352095,-3.537186146,0.1523520797
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,4,-0.6893076301,2.073794365,1.227676868,2.902348518,-3.537184477,0.1499617249
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,5,-0.6893076301,2.073794365,1.227676868,2.902348518,-3.537184477,0.1499617249
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,6,-0.7211844325,2.011698961,1.221171975,2.902353048,-3.537186623,0.1530511081
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,7,-0.7211844325,2.011698961,1.221171975,2.902353048,-3.537186623,0.1530511081
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,8,-0.7305399179,1.973014593,1.190869808,2.902351618,-3.537185907,0.1520805508
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,9,-0.7305399179,1.973014593,1.190869808,2.902351618,-3.537185907,0.1520805508
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,1,10,-0.7197547555,1.974161744,1.233616233,2.902348042,-3.537184238,0.1495921463
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,1,-0.6686761379,2.04752636,1.285120606,2.902354717,-3.537187576,0.1543066949
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,2,-0.7098324895,2.003717661,1.265908718,2.902351856,-3.537186146,0.1522932798
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,3,-0.7098324895,2.003717661,1.265908718,2.902351856,-3.537186146,0.1522932798
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,4,-0.7197416425,1.942818403,1.227274537,2.902345181,-3.53718257,0.1475374699
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,5,-0.7197416425,1.942818403,1.227274537,2.902345181,-3.53718257,0.1475374699
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,6,-0.7408443093,1.890079975,1.225534797,2.90234375,-3.537181854,0.1465598643
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,7,-0.7408443093,1.890079975,1.225534797,2.90234375,-3.537181854,0.1465598643
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,8,-0.7126289606,1.975314856,1.23859036,2.902347565,-3.537184,0.149269715
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,9,-0.7126289606,1.975314856,1.23859036,2.902347565,-3.537184,0.149269715
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,2,10,-0.7124259472,2.007747173,1.230594277,2.902353525,-3.537186861,0.1533940881
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,1,-0.57244277,1.99788785,1.153443456,2.902354479,-3.537187338,0.1541459262
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,2,-0.5757523775,1.92956984,1.175751686,2.902353048,-3.537186623,0.1530298293
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,3,-0.5757523775,1.92956984,1.175751686,2.902353048,-3.537186623,0.1530298293
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,4,-0.6290089488,1.887502313,1.15934813,2.902351856,-3.537185907,0.1522110701
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,5,-0.6290089488,1.887502313,1.15934813,2.902351856,-3.537185907,0.1522110701
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,6,-0.6181241274,1.900790453,1.153024673,2.902349949,-3.537184954,0.1508981436
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,7,-0.6181241274,1.900790453,1.153024673,2.902349949,-3.537184954,0.1508981436
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,8,-0.5825853348,1.936572671,1.159546375,2.902354002,-3.537187099,0.1536857784
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,3,9,-0.5825853348,1.936572671,1.159546375,2.902354002,-3.537187099,0.1536857784
