실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,1,16.767,-0.5914497375488281,1.955654263496399,2.372589111328125,2.7072834968566895,-3.5068111419677734,0.1390579789876938,1.0018316507339478
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,2,17.587,-0.634337842464447,1.8957287073135376,2.570736885070801,9.279214282287285e-05,-0.00015287857968360186,0.1347661018371582,1.0243865251541138
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,3,18.408,-0.5738794207572937,1.927781581878662,2.5735414028167725,-4.261588037479669e-05,2.2223659470910206e-05,0.13597603142261505,0.9956499338150024
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,4,19.227,-0.5074090957641602,1.9314147233963013,2.4070804119110107,-4.432721470948309e-05,2.3116128431865945e-05,0.14143630862236023,1.012460470199585
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,5,20.047,-0.5191630721092224,1.9580862522125244,2.5003936290740967,-4.380476821097545e-05,2.2843680199002847e-05,0.13976933062076569,1.0398869514465332
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,6,20.866,-0.4918037950992584,2.016693115234375,2.5339725017547607,-4.343131513451226e-05,2.2648928279522806e-05,0.13857774436473846,1.0016002655029297
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,7,21.687,-0.5077770948410034,1.9002633094787598,2.4333531856536865,-4.325899135437794e-05,2.2559062927030027e-05,0.13802790641784668,0.9836337566375732
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,8,22.510,-0.5727461576461792,1.9187333583831787,2.3810036182403564,-4.21177210228052e-05,2.196390414610505e-05,0.13438642024993896,1.0375933647155762
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,9,23.330,-0.5963868498802185,1.7868655920028687,2.3897385597229004,-4.185699799563736e-05,2.18238837987883e-05,0.1335492730140686,1.0227141380310059
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,1,10,24.150,-0.5526536107063293,1.9280211925506592,2.3597776889801025,-4.284245005692355e-05,2.2341842850437388e-05,0.13669882714748383,1.0007363557815552
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,1,25.967,-0.6029136776924133,1.9454097747802734,2.3519299030303955,-4.181061012786813e-05,2.180374758609105e-05,0.13340649008750916,0.9879034757614136
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,2,26.790,-0.6087647676467896,1.916469931602478,2.327086925506592,-4.238330802763812e-05,2.210240563726984e-05,0.1352338343858719,0.9966772198677063
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,3,27.607,-0.5771475434303284,1.8924074172973633,2.320586681365967,-4.332848766352981e-05,2.2595304471906275e-05,0.13824963569641113,0.9998962879180908
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,4,28.428,-0.5785512924194336,1.9113821983337402,2.4081807136535645,-4.219607581035234e-05,2.20047641050769e-05,0.13463641703128815,1.0084164142608643
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,5,29.248,-0.5426630973815918,1.9479737281799316,2.4581961631774902,-4.326326961745508e-05,2.2561294827028178e-05,0.13804155588150024,1.0049619674682617
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,6,30.069,-0.4807344675064087,1.8930442333221436,2.4131150245666504,-4.364131382317282e-05,2.2758440536563285e-05,0.13924778997898102,1.0113190412521362
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,7,30.889,-0.4692049026489258,1.8620494604110718,2.464130163192749,-4.308341885916889e-05,2.2467504095402546e-05,0.13746769726276398,1.0118757486343384
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,8,31.710,-0.4884375333786011,1.914005160331726,2.525200128555298,-4.3167870899196714e-05,2.25115454668412e-05,0.13773716986179352,1.0191582441329956
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,9,32.526,-0.49681663513183594,1.9200750589370728,2.5421998500823975,-4.3053536501247436e-05,2.245192081318237e-05,0.13737235963344574,1.008219838142395
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,2,10,33.346,-0.4788241684436798,1.8866231441497803,2.4665918350219727,-4.22130869992543e-05,2.2013637135387398e-05,0.13469070196151733,0.9984030723571777
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,1,35.166,-0.6023558378219604,1.9707551002502441,2.50644588470459,-4.340097802923992e-05,2.2633108528680168e-05,0.13848094642162323,1.0066872835159302
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,2,35.986,-0.6449121236801147,1.9616892337799072,2.4906115531921387,-4.344992703408934e-05,2.2658634406980127e-05,0.13863712549209595,1.0128859281539917
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,3,36.809,-0.6372978687286377,1.9834579229354858,2.455416440963745,-4.297983105061576e-05,2.241348374809604e-05,0.13713717460632324,0.9973216652870178
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,4,37.629,-0.6559035778045654,1.9830001592636108,2.3673324584960938,-4.32063388871029e-05,2.2531605281983502e-05,0.13785989582538605,0.9985962510108948
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,5,38.445,-0.6855120658874512,1.9986577033996582,2.3971962928771973,-4.348152288002893e-05,2.2675110812997445e-05,0.13873794674873352,1.004833459854126
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,6,39.266,-0.712096631526947,2.0481789112091064,2.446333408355713,-4.257636464899406e-05,2.2203081243787892e-05,0.13584981858730316,1.0033377408981323
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,7,40.089,-0.6762875318527222,2.0193428993225098,2.4242215156555176,-4.3526928493520245e-05,2.2698788598063402e-05,0.1388828158378601,0.9982753992080688
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,8,40.907,-0.6213749051094055,1.9969422817230225,2.358647584915161,-4.2451516492292285e-05,2.2137974156066775e-05,0.13545146584510803,1.003609538078308
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,9,41.726,-0.6012424230575562,1.9816498756408691,2.371452808380127,-4.3643198296194896e-05,2.27594227908412e-05,0.13925381004810333,1.0068122148513794
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,3,10,42.546,-0.5949405431747437,1.9808038473129272,2.46772837638855,-4.3744996219174936e-05,2.2812509996583685e-05,0.13957861065864563,1.0158319473266602
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,1,44.369,-0.4750244915485382,1.9119716882705688,2.4797966480255127,-4.2793963075382635e-05,2.2316557078738697e-05,0.1365441232919693,1.0086389780044556
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,2,45.186,-0.4033050239086151,1.9061579704284668,2.477262496948242,-4.3176838516956195e-05,2.251622026960831e-05,0.1377657651901245,1.0087569952011108
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,3,46.007,-0.3984334468841553,1.9247130155563354,2.4706506729125977,-4.288384661776945e-05,2.2363428797689267e-05,0.1368309110403061,1.0167344808578491
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,4,46.829,-0.43950915336608887,1.913656234741211,2.525143623352051,-4.3471514800330624e-05,2.266989031340927e-05,0.1387059986591339,1.0125937461853027
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,5,47.646,-0.46637260913848877,1.9056799411773682,2.4946210384368896,-4.337704012868926e-05,2.262062298541423e-05,0.13840456306934357,0.999661922454834
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,6,48.467,-0.6047425866127014,1.9799599647521973,2.360156536102295,-4.3531792471185327e-05,2.270132608828135e-05,0.1388983428478241,0.9904991984367371
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,7,49.286,-0.6173456311225891,1.9682482481002808,2.3629345893859863,-4.3528718379093334e-05,2.269972173962742e-05,0.13888852298259735,1.0252680778503418
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,8,50.107,-0.5642747282981873,2.0453860759735107,2.5198607444763184,-4.506262484937906e-05,2.349963688175194e-05,0.1437828242778778,1.0166512727737427
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,9,50.926,-0.5548641085624695,1.9533931016921997,2.512976884841919,-4.386366344988346e-05,2.287439383508172e-05,0.1399572491645813,1.025437593460083
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,4,10,51.746,-0.46986910700798035,1.9216936826705933,2.441420316696167,-4.380065729492344e-05,2.2841535610496067e-05,0.1397562175989151,1.0110230445861816
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,1,53.566,-0.5096800923347473,1.9620640277862549,2.4694628715515137,-4.322056702221744e-05,2.2539024939760566e-05,0.1379052996635437,1.0075953006744385
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,2,54.386,-0.6312591433525085,2.0393216609954834,2.454690933227539,-4.3463169276947156e-05,2.2665537471766584e-05,0.1386793702840805,1.012675404548645
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,3,55.207,-0.48226168751716614,1.9108049869537354,2.4712183475494385,-4.4069092837162316e-05,2.2981523216003552e-05,0.14061272144317627,1.005138874053955
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,4,56.026,-0.43821588158607483,1.8715358972549438,2.407991647720337,-4.430805711308494e-05,2.3106140361051075e-05,0.14137519896030426,1.0088478326797485
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,5,56.846,-0.423008531332016,1.8583709001541138,2.472532033920288,-4.262716174707748e-05,2.222957118647173e-05,0.13601189851760864,1.0092674493789673
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,6,57.666,-0.5897367596626282,1.9813836812973022,2.455650568008423,-4.36185764556285e-05,2.274658254464157e-05,0.13917523622512817,1.0061142444610596
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,7,58.488,-0.7409449219703674,2.025103807449341,2.4300525188446045,-4.250497295288369e-05,2.216585198766552e-05,0.1356220245361328,1.031115174293518
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,8,59.308,-0.7459125518798828,2.000141143798828,2.4786603450775146,-4.235528103890829e-05,2.2087788238422945e-05,0.1351443976163864,0.9981473088264465
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,9,60.126,-0.662939727306366,2.0277016162872314,2.3625071048736572,-4.4089309085393324e-05,2.29920642595971e-05,0.14067721366882324,1.018209457397461
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,5,10,60.946,-0.5580229163169861,1.9199130535125732,2.4770116806030273,-4.3581228965194896e-05,2.2727106625097804e-05,0.13905607163906097,1.0072357654571533
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,1,62.769,-0.7208175659179688,1.9892194271087646,2.4165828227996826,-4.345730121713132e-05,2.2662479750579223e-05,0.13866065442562103,0.9978053569793701
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,2,63.586,-0.6631004214286804,1.9872068166732788,2.3983893394470215,-4.2594958358677104e-05,2.2212778276298195e-05,0.13590915501117706,0.9967831969261169
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,3,64.409,-0.6260620951652527,1.9031331539154053,2.347299098968506,-4.325677582528442e-05,2.2557906049769372e-05,0.1380208283662796,1.0008132457733154
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,4,65.226,-0.6137245297431946,1.9145504236221313,2.3203091621398926,-4.3644049583235756e-05,2.2759866624255665e-05,0.1392565220594406,1.0073027610778809
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,5,66.046,-0.5852985382080078,1.9433634281158447,2.3330037593841553,-4.3244250264251605e-05,2.2551375877810642e-05,0.1379808634519577,0.9896302819252014
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,6,66.867,-0.5536705851554871,1.9636231660842896,2.367532730102539,-4.34383618994616e-05,2.265260263811797e-05,0.13860023021697998,0.9970356225967407
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,7,67.686,-0.5169512629508972,1.9220404624938965,2.374206066131592,-4.3402349547250196e-05,2.2633821572526358e-05,0.13848531246185303,1.0071018934249878
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,6,8,68.506,-0.5065553188323975,1.8857289552688599,2.412809371948242,-4.354551128926687e-05,2.2708480173605494e-05,0.13894210755825043,0.9829362630844116
