원본파일,측정목적,실제무게_g,반복수,회차당표본수,적용_gain,적용_offset_g,로봇측정평균_g,로봇측정중앙값_g,평균오차_g,중앙값오차_g,평균절대오차_g,평균절대오차율_pct,반복표준편차_g,최솟값_g,최댓값_g,운영적용가능,비고
fixed79_s65.csv,79 g 고정하중 65표본 진동 관찰,79,10,65,1.222397,281.727171,72.275,72.855,-6.725,-6.145,6.725,8.513,1.872,68.843,74.204,false,단일 하중이라 gain 독립 산출 불가
drift.csv,79 g 고정하중 장시간 drift 관찰,79,20,20,1.222397,281.727171,77.138,78.593,-1.862,-0.407,2.709,3.430,5.461,60.645,81.056,false,17.877분 동안 선형 기울기 +0.5231 raw g/min
gain.csv,첫 4점 gain 측정,79,2,20,1.222397,281.727171,71.223,71.223,-7.777,-7.777,7.777,9.844,1.851,69.915,72.532,false,첫 측정은 179 g 회차 오염으로 전체 적합 폐기
gain.csv,첫 4점 gain 측정,129,2,20,1.222397,281.727171,144.676,144.676,15.676,15.676,15.676,12.152,0.701,144.180,145.172,false,첫 측정은 179 g 회차 오염으로 전체 적합 폐기
gain.csv,첫 4점 gain 측정,179,2,20,1.222397,281.727171,174.767,174.767,-4.233,-4.233,32.229,18.005,45.579,142.538,206.996,false,두 회차가 크게 갈려 유효 gain 근거로 사용 불가
gain.csv,첫 4점 gain 측정,229,2,20,1.222397,281.727171,238.454,238.454,9.454,9.454,9.454,4.128,1.008,237.742,239.167,false,첫 측정은 179 g 회차 오염으로 전체 적합 폐기
gain_retry01.csv,재시도 4점 gain 측정,79,2,20,1.222397,281.727171,77.518,77.518,-1.482,-1.482,1.482,1.876,1.062,76.768,78.269,false,과거 조건에서 선택한 후보 적합에 사용
gain_retry01.csv,재시도 4점 gain 측정,129,2,20,1.222397,281.727171,130.576,130.576,1.576,1.576,1.576,1.222,0.033,130.553,130.599,false,과거 조건에서 선택한 후보 적합에 사용
gain_retry01.csv,재시도 4점 gain 측정,179,2,20,1.222397,281.727171,180.480,180.480,1.480,1.480,1.480,0.827,1.429,179.470,181.490,false,과거 조건에서 선택한 후보 적합에 사용
gain_retry01.csv,재시도 4점 gain 측정,229,2,20,1.222397,281.727171,227.426,227.426,-1.574,-1.574,1.574,0.687,0.280,227.227,227.624,false,과거 조건에서 선택한 후보 적합에 사용
zero_before.csv,측정 전 빈 그리퍼 기준값,0,5,20,1.222397,281.727171,-125.315,-118.024,-125.315,-118.024,125.315,,12.913,-147.297,-117.271,false,0 g은 절대오차율 정의 불가
zero_after.csv,측정 후 빈 그리퍼 기준값,0,5,20,1.222397,281.727171,-70.329,-70.042,-70.329,-70.042,70.329,,0.815,-71.194,-69.268,false,전후 raw 기준값 차이 +44.982 g
