# 회차 · 투입량_g · 원료면 · 비고
# 붓기 방식 — 저울 위 용기에 부어 **회차마다 저울 1번**만 읽는다.
#   투입량_g  붓기 직전 저울을 0 으로 맞추고(tare), 붓고 나서 읽은 값
#             = 용기에 실제로 들어간 양. 이것이 판정 대상이다
#   원료면    가득 | 중간 | 바닥
# tare 를 깜빡했으면 비고에 적는다 — 누적값이 섞이면 산포가 통째로 틀린다.
# 용기가 차면 비우고 다시 tare 한다. 비운 회차도 비고에 적는다.
#
# ── 측정 조건 (2026-09-23, 실측 시작 시점에 실행 중인 값을 읽어 기록) ────────
#   vel_scale        1.0   ← ros2 param get /cell/skill_node robot.vel_scale 로 확인
#                          스쿠핑 spline 속도 = stations.yaml velocity x vel_scale
#                          = [250.0, 80.625] x 1.0 = DRL 검증값 그대로
#   acceleration     [1000.0, 322.5] x 1.0
#   execution_mode   taught_fixed  (고정 티칭 경로, depth_fraction=1.0 고정)
#   원료             A (material_1), 전용 스쿱 scoop_1, 기대 폭 15.5 mm
#   털기             shake_repeat 3
#   용기_g           아래 지시자. 빈 시료통을 한 번만 정확히 재서 적는다
#   계량             외부 저울, workbench 용기 자리. 로봇 계량값은 쓰지 않는다
#                    (런타임 scale.gain/offset_g 가 우드락 공구 조건 값이라 미검증)
#   공구             1.36 kg, CoG [5.31, -34.68, 8.28] mm (동결)
#   저장소           1회차 main 5b658e0 · 2~15회차 #290(545ef89, 직선속도 60 → 250 mm/s) 적용 후
#
# ⚠️ vel_scale 을 바꾸면 채취량이 바뀐다. 다른 값으로 잰 회차를 여기 섞지 말 것.
#
#
# ── 빈 시료통 무게 (여기 한 줄만 고치면 전 회차에 적용된다) ────────────
# 용기_g: 79.0
#   ↑ 비워두면 분석이 거부한다. 78 인지 79 인지 확정해서 적을 것.
#   저울값(총무게_g)에서 이 값을 빼서 투입량을 낸다 — 회차마다 뺄셈하지 않는다.
#   시료통을 바꾸면 이 값도 바꾼다.
#
회차,총무게_g,원료면,비고
1,158.0,,vel_scale=1.0
2,155,가득,
3,153,가득,
4,159,가득,
5,155,가득,
6,160,가득,
7,160,가득,
8,154,가득,
9,157,가득,
10,156,가득,
11,155,가득,
12,155,가득,
13,161,가득,
14,165,가득,
15,166,가득,
